"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO";"SITUACAO"
"ADEILTON FERREIRA DE SOUZA";"PARAIBA";"DEPUTADO ESTADUAL";"15111";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"ADEIR THEOFILO APOLINARIO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"15381";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"ADELAIDE DA MOTTA TEIXEIRA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"12225";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ADELAR EDUARDO COUTO DA SILVEIRA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"90369";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"NAO ELEITO"
"ADELCIMAR AZEVEDO LIMA";"RORAIMA";"DEPUTADO ESTADUAL";"77567";"SOLIDARIEDADE";"1";"SUPLENTE"
"ADELE REGINA CARDOZO DE BRITO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"40006";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ADELIA COSTA DA SILVA";"MARANHAO";"DEPUTADO ESTADUAL";"20808";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ADELIA DE JESUS SOARES";"SAO PAULO";"DEPUTADO FEDERAL";"5176";"PATRIOTA";"1";"NAO ELEITO"
"ADELIA MARIA ALVES";"MINAS GERAIS";"DEPUTADO ESTADUAL";"22313";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"ADELIA OLIVEIRA DE FARIAS";"SAO PAULO";"DEPUTADO ESTADUAL";"13066";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ADELIA PICHEK FAGANELLO";"PARANA";"DEPUTADO FEDERAL";"4377";"PARTIDO VERDE";"1";"SUPLENTE"
"ADELINA RODRIGUES MARTINS";"MINAS GERAIS";"DEPUTADO FEDERAL";"9040";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ADELINO ANGELO FOLLADOR";"RONDONIA";"DEPUTADO ESTADUAL";"25500";"DEMOCRATAS";"1";"ELEITO POR QP"
